Date,Open,High,Low,Close,Adj Close,Volume
2002-04-12,11.733300,11.946700,11.680000,11.783300,2.112247,7128510
2002-04-15,11.466700,11.933300,11.343300,11.443300,2.051300,8190780
2002-04-16,11.400000,11.673300,11.333300,11.536700,2.068043,4569360
2002-04-17,11.600000,11.900000,11.586700,11.720000,2.100901,13323735
2002-04-18,11.846700,11.860000,11.553300,11.666700,2.091346,5030610
2002-04-19,11.716700,11.733300,11.283300,11.363300,2.036960,5485590
2002-04-22,11.400000,11.400000,11.023300,11.210000,2.009479,7382325
2002-04-23,11.200000,11.393300,11.100000,11.256700,2.017850,6311400
2002-04-24,11.333300,11.400000,11.213300,11.243300,2.015449,7477335
2002-04-25,11.320000,11.320000,10.676700,10.750000,1.927021,18059175
2002-04-26,10.933300,11.000000,10.800000,10.950000,1.962872,5270505
2002-04-29,11.033300,11.033300,10.866700,10.946700,1.962281,3446400
2002-04-30,11.003300,11.206700,10.940000,11.166700,2.001718,7328820
2002-05-01,null,null,null,null,null,null
2002-05-02,11.323300,11.633300,11.200000,11.546700,2.069835,17350785
2002-05-03,11.600000,11.723300,11.533300,11.650000,2.088353,10244565
2002-05-06,11.666700,11.863300,11.666700,11.783300,2.112247,7918320
2002-05-07,11.980000,12.046700,11.740000,12.003300,2.151685,11686830
2002-05-08,12.100000,12.186700,11.733300,11.910000,2.134959,12163575
2002-05-09,12.066700,12.080000,11.800000,11.963300,2.144514,4862205
2002-05-10,12.033300,12.113300,11.720000,11.883300,2.130174,6551715
2002-05-13,11.996700,11.996700,11.773300,11.803300,2.115832,4122165
2002-05-14,11.900000,11.936700,11.666700,11.776700,2.111064,6700875
2002-05-15,11.833300,11.900000,11.506700,11.730000,2.102693,9325185
2002-05-16,11.863300,11.863300,11.280000,11.526700,2.066250,9392535
2002-05-17,11.566700,11.600000,11.080000,11.306700,2.026814,7865400
2002-05-20,11.533300,11.600000,11.200000,11.356700,2.035776,6973620
2002-05-21,11.200000,11.220000,10.223300,10.590000,1.898339,16608120
2002-05-22,10.780000,10.906700,10.420000,10.596700,1.899541,7832280
2002-05-23,10.666700,10.666700,10.103300,10.160000,1.821258,8965500
2002-05-24,10.466700,10.596700,10.320000,10.483300,1.879213,14622180
2002-05-27,10.646700,10.806700,10.400000,10.496700,1.881615,9957540
2002-05-28,10.540000,10.540000,10.170000,10.226700,1.833214,7368705
2002-05-29,10.333300,10.396700,10.006700,10.166700,1.822460,10014570
2002-05-30,10.563300,10.760000,10.170000,10.400000,1.864280,16520820
2002-05-31,10.733300,10.733300,10.143300,10.183300,1.825435,6559920
2002-06-03,10.273300,10.540000,10.273300,10.486700,1.879822,4112760
2002-06-04,10.556700,10.633300,10.433300,10.493300,1.881005,7912185
2002-06-05,10.550000,11.050000,10.533300,11.006700,1.973036,17754525
2002-06-06,11.066700,11.536700,11.000000,11.456700,2.053702,25616685
2002-06-07,11.463300,11.463300,11.066700,11.206700,2.008887,7505460
2002-06-10,11.400000,11.500000,11.276700,11.436700,2.050117,4289160
2002-06-11,11.580000,11.806700,11.533300,11.736700,2.103895,6701520
2002-06-12,11.403300,11.696700,11.403300,11.533300,2.067433,2832915
2002-06-13,11.666700,11.920000,11.590000,11.750000,2.106278,6815400
2002-06-14,11.616700,11.933300,11.576700,11.670000,2.091938,4069635
2002-06-17,11.790000,11.893300,11.673300,11.693300,2.096114,4345005
2002-06-18,11.800000,11.800000,11.316700,11.430000,2.048916,5810205
2002-06-19,11.466700,11.583300,11.266700,11.360000,2.036368,8798010
2002-06-20,11.333300,11.790000,11.270000,11.710000,2.099109,7019355
2002-06-21,11.800000,12.000000,11.610000,11.670000,2.091938,3997275
